Instituição,Sigla,Estado,Região,Categoria administrativa,Quantidade de dissertações na base
Universidade de Brasília,UnB,DF,Centro-Oeste,Federal,185
Universidade Federal de Catalão,UFCAT,GO,Centro-Oeste,Federal,107
Universidade Federal de Goiás,UFG,GO,Centro-Oeste,Federal,231
Universidade Federal de Jataí,UFJ,GO,Centro-Oeste,Federal,61
Universidade Estadual de Mato Grosso do Sul,UEMS,MS,Centro-Oeste,Estadual,54
Universidade Federal da Grande Dourados,UFGD,MS,Centro-Oeste,Federal,42
Universidade Federal de Mato Grosso do Sul,UFMS,MS,Centro-Oeste,Federal,142
Universidade Federal de Mato Grosso,UFMT,MT,Centro-Oeste,Federal,135
Universidade Federal de Rondonópolis,UFR,MT,Centro-Oeste,Federal,13
Universidade do Estado de Mato Grosso,UNEMAT,MT,Centro-Oeste,Estadual,92
Universidade Federal de Alagoas,UFAL,AL,Nordeste,Federal,147
Universidade Estadual de Feira de Santana,UEFS,BA,Nordeste,Estadual,68
Universidade Estadual de Santa Cruz,UESC,BA,Nordeste,Estadual,106
Universidade Estadual do Sudoeste da Bahia,UESB,BA,Nordeste,Estadual,111
Universidade Federal da Bahia,UFBA,BA,Nordeste,Federal,109
Universidade Federal do Oeste da Bahia,UFOB,BA,Nordeste,Federal,22
Universidade Federal do Recôncavo da Bahia,UFRB,BA,Nordeste,Federal,76
Universidade Federal do Vale do São Francisco,UNIVASF,BA,Nordeste,Federal,95
Universidade Estadual do Ceará,UECE,CE,Nordeste,Estadual,78
Universidade Federal do Cariri,UFCA,CE,Nordeste,Federal,140
Universidade Federal do Ceará,UFC,CE,Nordeste,Federal,216
Universidade Regional do Cariri,URCA,CE,Nordeste,Estadual,35
Universidade da Integração Internacional da Lusofonia Afro-Brasileira,UNILAB,CE,Nordeste,Federal,29
Universidade Estadual do Maranhão,UEMA,MA,Nordeste,Estadual,88
Universidade Federal do Maranhão,UFMA,MA,Nordeste,Federal,111
Universidade Estadual da Paraíba,UEPB,PB,Nordeste,Estadual,59
Universidade Federal da Paraíba,UFPB,PB,Nordeste,Federal,157
Universidade Federal de Campina Grande,UFCG,PB,Nordeste,Federal,95
Universidade Federal Rural de Pernambuco,UFRPE,PE,Nordeste,Federal,130
Instituto Federal do Piauí,IFPI,PI,Nordeste,Federal,75
Universidade Estadual do Piauí,UESPI,PI,Nordeste,Estadual,68
Universidade Federal do Piauí,UFPI,PI,Nordeste,Federal,184
Universidade Federal Rural do Semi-Árido,UFERSA,RN,Nordeste,Federal,162
Universidade Federal do Rio Grande do Norte,UFRN,RN,Nordeste,Federal,79
Universidade Federal de Sergipe,FUFS,SE,Nordeste,Federal,132
Universidade Federal do Acre,UFAC,AC,Norte,Federal,47
Universidade Federal do Amazonas,UFAM,AM,Norte,Federal,86
